Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","100","India","5910","Export Quantity","515","Apples","2017","2017","tonnes","2092","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","100","India","5922","Export Value","515","Apples","2017","2017","1000 US$","2195","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","74705","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","165","Pakistan","5922","Export Value","515","Apples","2017","2017","1000 US$","31501","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","1","Armenia","73","Georgia","5910","Export Quantity","515","Apples","2017","2017","tonnes","39","","Official data"
"TM","Detailed trade matrix","1","Armenia","73","Georgia","5922","Export Value","515","Apples","2017","2017","1000 US$","18","","Official data"
"TM","Detailed trade matrix","1","Armenia","225","United Arab Emirates","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","1","Armenia","225","United Arab Emirates","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","52","Azerbaijan","73","Georgia","5910","Export Quantity","515","Apples","2017","2017","tonnes","153","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","73","Georgia","5922","Export Value","515","Apples","2017","2017","1000 US$","56","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","108","Kazakhstan","5910","Export Quantity","515","Apples","2017","2017","tonnes","5588","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","108","Kazakhstan","5922","Export Value","515","Apples","2017","2017","1000 US$","1923","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","118","Kuwait","5910","Export Quantity","515","Apples","2017","2017","tonnes","24","*","Unofficial figure"
"TM","Detailed trade matrix","52","Azerbaijan","118","Kuwait","5922","Export Value","515","Apples","2017","2017","1000 US$","24","*","Unofficial figure"
"TM","Detailed trade matrix","52","Azerbaijan","131","Malaysia","5910","Export Quantity","515","Apples","2017","2017","tonnes","53","*","Unofficial figure"
"TM","Detailed trade matrix","52","Azerbaijan","131","Malaysia","5922","Export Value","515","Apples","2017","2017","1000 US$","46","*","Unofficial figure"
"TM","Detailed trade matrix","52","Azerbaijan","141","Mongolia","5910","Export Quantity","515","Apples","2017","2017","tonnes","20","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","52","Azerbaijan","141","Mongolia","5922","Export Value","515","Apples","2017","2017","1000 US$","15","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","128","China, Macao SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","2553","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","128","China, Macao SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","4094","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","41","China, mainland","5910","Export Quantity","515","Apples","2017","2017","tonnes","36385","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","41","China, mainland","5922","Export Value","515","Apples","2017","2017","1000 US$","37940","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","214","China, Taiwan Province of","5910","Export Quantity","515","Apples","2017","2017","tonnes","9506","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","214","China, Taiwan Province of","5922","Export Value","515","Apples","2017","2017","1000 US$","16840","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","171","Philippines","5910","Export Quantity","515","Apples","2017","2017","tonnes","307","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","171","Philippines","5922","Export Value","515","Apples","2017","2017","1000 US$","314","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","216","Thailand","5910","Export Quantity","515","Apples","2017","2017","tonnes","17","","Official data"
"TM","Detailed trade matrix","96","China, Hong Kong SAR","216","Thailand","5922","Export Value","515","Apples","2017","2017","1000 US$","19","","Official data"
"TM","Detailed trade matrix","128","China, Macao SAR","96","China, Hong Kong SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","128","China, Macao SAR","96","China, Hong Kong SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","0","*","Unofficial figure"
"TM","Detailed trade matrix","41","China, mainland","2","Afghanistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","242","","Official data"
"TM","Detailed trade matrix","41","China, mainland","2","Afghanistan","5922","Export Value","515","Apples","2017","2017","1000 US$","360","","Official data"
"TM","Detailed trade matrix","41","China, mainland","13","Bahrain","5910","Export Quantity","515","Apples","2017","2017","tonnes","114","","Official data"
"TM","Detailed trade matrix","41","China, mainland","13","Bahrain","5922","Export Value","515","Apples","2017","2017","1000 US$","117","","Official data"
"TM","Detailed trade matrix","41","China, mainland","16","Bangladesh","5910","Export Quantity","515","Apples","2017","2017","tonnes","166887","","Official data"
"TM","Detailed trade matrix","41","China, mainland","16","Bangladesh","5922","Export Value","515","Apples","2017","2017","1000 US$","109413","","Official data"
"TM","Detailed trade matrix","41","China, mainland","26","Brunei Darussalam","5910","Export Quantity","515","Apples","2017","2017","tonnes","98","","Official data"
"TM","Detailed trade matrix","41","China, mainland","26","Brunei Darussalam","5922","Export Value","515","Apples","2017","2017","1000 US$","146","","Official data"
"TM","Detailed trade matrix","41","China, mainland","115","Cambodia","5910","Export Quantity","515","Apples","2017","2017","tonnes","22","","Official data"
"TM","Detailed trade matrix","41","China, mainland","115","Cambodia","5922","Export Value","515","Apples","2017","2017","1000 US$","32","","Official data"
